filepath,filename,label,split
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_169.jpg,crazing_169.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/rolled-in_scale_108.jpg,rolled-in_scale_108.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_41.jpg,crazing_41.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_179.jpg,patches_179.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_70.jpg,inclusion_70.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/rolled-in_scale_74.jpg,rolled-in_scale_74.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_237.jpg,crazing_237.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_142.jpg,scratches_142.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_134.jpg,patches_134.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/Validation_Images/rolled-in_scale_216.jpg,rolled-in_scale_216.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_264.jpg,crazing_264.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_296.jpg,inclusion_296.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_123.jpg,inclusion_123.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_156.jpg,scratches_156.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_7.jpg,patches_7.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/pitted_surface_241.jpg,pitted_surface_241.jpg,pitted_surface,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/rolled-in_scale_277.jpg,rolled-in_scale_277.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_276.jpg,scratches_276.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_30.jpg,scratches_30.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_272.jpg,crazing_272.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_44.jpg,crazing_44.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_107.jpg,patches_107.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_184.jpg,crazing_184.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_299.jpg,scratches_299.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_226.jpg,inclusion_226.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_293.jpg,patches_293.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/rolled-in_scale_72.jpg,rolled-in_scale_72.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_175.jpg,crazing_175.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/Validation_Images/rolled-in_scale_14.jpg,rolled-in_scale_14.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_35.jpg,crazing_35.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/scratches_287.jpg,scratches_287.jpg,scratches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/crazing_258.jpg,crazing_258.jpg,crazing,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/rolled-in_scale_133.jpg,rolled-in_scale_133.jpg,rolled-in_scale,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_250.jpg,inclusion_250.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_28.jpg,inclusion_28.jpg,inclusion,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/patches_300.jpg,patches_300.jpg,patches,train
/home/claude/NEU-DET-Steel-Surface-Defect-Detection/IMAGES/inclusion_295.jpg,inclusion_295.jpg,inclusion,train
